Politician,Year,Party,House,Total,Travelling Allowance,Overseas Travel,Domestic Scheduled Fares,Charter,Car Costs,Office Facilities,Office Fit Outs,Office Administrative Costs,Telecommunications,Family Travel Costs
Tony Pasin,2013,Liberal,MP,138794,5988,0,10819,0,3029,78442,14262,19503,1041,5710
Tony Smith,2013,Liberal,MP,426235,19700,0,28053,0,25333,132105,2460,202783,11962,3838
Tony Windsor,2013,Independent,MP,250933,11527,-1827,19842,3350,32097,107750,0,61523,14762,1909
Tony Zappia,2013,ALP,MP,455440,19990,0,14049,0,20633,104523,8000,273651,12952,1644
Trish Crossin,2013,ALP,Senator,267849,17825,12532,44774,14091,32591,81331,1045,39606,12660,11394
Ursula Stephens,2013,ALP,Senator,278507,23998,4429,8607,3576,31680,98910,0,92658,13456,1192
Warren Entsch,2013,LNP,MP,585825,29228,14280,46542,33566,17183,153696,944,246882,23434,20070
Warren Snowdon,2013,ALP,MP,989732,71678,102389,119718,103417,122608,256065,148,181869,18210,13630
Warren Truss,2013,LNP,MP,647427,51062,1476,69734,40806,50794,123613,12245,257496,14593,25608
Wayne Swan,2013,ALP,MP,781289,32282,199882,50032,0,76577,147845,0,253930,10380,10361
Wyatt Roy,2013,LNP,MP,414991,14833,0,21748,0,24496,113588,2835,227461,10029,0
Yvette D'Ath,2013,ALP,MP,403242,12205,0,26818,0,15824,80980,11148,238671,9478,8118
Zed Seselja,2013,Liberal,Senator,57027,765,0,0,0,3246,48824,0,3186,1007,0
